flux_over_background_per_time_bin,flux_over_background_per_s,normalized_flux,bg_flux,counts_per_a_per_s,rot_phase,rot_phase_unfold,time
18.599999980000007,0.10062134185573168,0.9727059183793458,2.5788984622062717e-06,1.7904923438509063e-05,0.0,0.0,776070033.8505031
5.761363671022721,0.031167534630135534,-0.38895289118369825,3.6534395029644495e-06,7.957743673081532e-06,0.011259702733305607,0.011259702733305607,776070218.7019436
2.382352927941179,0.012887932722641465,-0.7473289394800351,2.9964344127266303e-06,3.978871786804878e-06,0.02251940545934992,0.02251940545934992,776070403.5533841
16.49999977500004,0.0892608666540318,0.7499810346451643,2.818367615739258e-06,1.591548794299375e-05,0.03377910818539423,0.03377910818539423,776070588.4048245
4.218507289419766,0.02282106798634535,-0.5525874029294069,7.705994147711207e-06,1.591548734616307e-05,0.045038810911438534,0.045038810911438534,776070773.2562649
4.728908223852351,0.025582209220874858,-0.49845455641412906,4.427109004477919e-06,7.957743673081532e-06,0.056298513637482846,0.056298513637482846,776070958.1077054
1.446428563392859,0.007824816295889462,-0.8465925703985927,5.949887107254222e-06,5.968307680207317e-06,0.06755821637078846,0.06755821637078846,776071142.9591459
5.5124999193750135,0.029821244057180174,-0.4153472458220534,5.642875418164716e-06,7.957743971496874e-06,0.07881791909683276,0.07881791909683276,776071327.8105863
13.3392855401786,0.07216219418778348,0.41475739571814474,2.0385578154803285e-06,7.957743772553316e-06,0.09007762183013837,0.09007762183013837,776071512.6620269
9.899999895000018,0.05355652015471154,0.04998862396888182,2.5788984622062717e-06,9.947179665955754e-06,0.10133732455618268,0.10133732455618268,776071697.5134673
10.799999940000014,0.05842529500930799,0.1454421410238409,2.5788984668114467e-06,1.591548714721951e-05,0.112597027282227,0.112597027282227,776071882.3649077
19.987499995625004,0.10812736946579386,1.119863418138379,2.222764897397635e-06,1.5915487346163065e-05,0.1238567300082713,0.1238567300082713,776072067.2163482
11.607954408238662,0.06279612634478775,0.2311333540877787,2.2841672309173735e-06,9.947179864899314e-06,0.13511643273431562,0.13511643273431562,776072252.0677886
3.374999981250004,0.018257904690408746,-0.6420493309300497,2.6525812673421443e-06,5.968307680207317e-06,0.1463761354676212,0.1463761354676212,776072436.9192291
23.98564575430625,0.12975633675643303,1.5439045906746474,3.358708239439325e-06,2.387323171554706e-05,0.15763583819366553,0.15763583819366553,776072621.7706696
0.8437499953125009,0.004564476172602186,-0.9105123327325124,3.2973058537276035e-06,1.989435893402439e-06,0.16889554092697112,0.16889554092697112,776072806.6221101
2.761363621022731,0.014938285655788974,-0.7071312707609498,3.87448795214335e-06,5.968307680207317e-06,0.18015524365301544,0.18015524365301544,776072991.4735506
13.193181744886376,0.07137180924432507,0.39926170636435065,2.984153941110496e-06,1.193661585777353e-05,0.19141494637905976,0.19141494637905976,776073176.324991
8.89772725602273,0.048134476179033,-0.05631186898091334,2.142941839568054e-06,5.968307978622652e-06,0.20267464910510408,0.20267464910510408,776073361.1764314
6.834586399624072,0.03697340082250408,-0.2751274701768367,3.2481840332705754e-06,9.947179665955754e-06,0.21393435183840967,0.21393435183840967,776073546.027872
10.574999861250024,0.05720810093050083,0.12157875460108869,2.486794923550206e-06,7.957743772553316e-06,0.225194054564454,0.225194054564454,776073730.8793124
8.103146953583897,0.04383599573121052,-0.14058462526769788,3.991152386444876e-06,7.957743772553307e-06,0.23645375729049828,0.23645375729049828,776073915.7307528
4.531578975526311,0.024514707404998563,-0.5193831895571774,5.943746952804249e-06,9.947179566483971e-06,0.2477134600238039,0.2477134600238039,776074100.5821934
30.328125364843682,0.1640675630892889,2.21658454112417,2.4560937798162125e-06,1.7904923438509053e-05,0.2589731627498482,0.2589731627498482,776074285.4336338
